,slope_p_fe,slope_phi31_fe,Fe_hat,Fe_scatter,Fe_hat_fit
0,-4.636860315175953,0.6829288305930946,-0.23460953782592875,0.2983616919327154,-1.6508680657453114
1,-4.773352126302886,0.7709902199434766,-0.3590874133463129,0.30344553250189954,-1.6811182492410914
2,-4.6105791446270015,0.7496038619914565,-0.4401711793130456,0.2838941159124884,-1.7073109421063335
3,-4.787450502000653,0.5918872457801935,0.016368269209999564,0.3065156317141515,-1.6723275404300055
4,-4.667595430064597,0.6648382227771057,-0.25446064718195305,0.3015916808430488,-1.7253414596664995
5,-4.8850810944482665,0.7253634177486313,-0.19531741553103843,0.28392241453426315,-1.6756392367027355
6,-5.0331613420684285,0.7614987813069897,-0.211372294399097,0.3011055685362296,-1.7082715370261747
7,-4.0656857289226345,0.6420226084175827,-0.5349431777368701,0.3085669290604306,-1.6903093982552853
8,-4.372878246393463,0.5784054310454794,-0.22311164742981937,0.306572399551855,-1.6900277331749383
9,-4.934642015656259,0.7379063260344964,-0.2185170858528247,0.29432948408599835,-1.7034896431775872
10,-4.741662668339123,0.7134902557374412,-0.2961564181302241,0.3038839595731413,-1.7141735076588156
11,-4.367784783139788,0.7378545601412395,-0.5205426662157564,0.2916272397003546,-1.66550441581715
12,-4.606560558284387,0.6530604792901995,-0.2197398904910246,0.3087731342538467,-1.6775552668812574
13,-4.375719034582934,0.5827676617784439,-0.18923285487585195,0.2747425948398419,-1.6491289520687245
14,-5.284367967901948,0.7983013731200486,-0.170601175254957,0.326036725749801,-1.744619209756029
15,-4.694325218465423,0.7291152815006725,-0.3405876470944449,0.2676719354414048,-1.6989522151723535
16,-5.069056467839832,0.7053874661345106,-0.08294098095353353,0.32599309789885683,-1.7135999293884114
17,-4.776152951333018,0.7161409711832654,-0.27405167895680727,0.27455170883443275,-1.7074615073900876
18,-4.25571923233397,0.6374975389934906,-0.37728844985274357,0.3036054482954524,-1.6557249112661443
19,-4.420658947953151,0.6100340137050397,-0.2605966564454354,0.3367367272800829,-1.6929239978072466
20,-4.34803412222762,0.571974698790814,-0.1910173667423416,0.3053111761127933,-1.6558884424972855
